@relation voices
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute voice {bass, baritone, tenor, alto, soprano}



@data
6.741297,14.893493,9.690523,24.419724,5.4759207,4.925186,13.303812,10.246009,10.439395,17.403263,29.276125,20.022205,26.035675,25.247295,28.613298,20.356964,7.295088,10.607199,6.741297,6.741297,6.741297,6.741297,9.627774,7.99103,18.609407,10.334696,11.441326,18.181877,11.353596,26.973877,12.107278,4.6026764,11.578759,12.038967,6.493924,12.56069,161.26277,5.6004086,8.783835,9.239595,18.851007,1.3168074,83.9817,13.382986,9.870167,23.655445,14.171124,3.909727,6.51454,23.441366,12.87976,11.298694,6.4964356,22.324549,9.992676,13.86567,16.21784,9.1780615,22.789902,22.285538,15.606476,9.399423,5.889588,22.313816,soprano
11.897047,15.718543,4.890733,7.339045,7.1550794,9.988854,11.111645,15.920045,14.2195,38.825695,14.801778,17.901756,31.619184,6.2362103,5.4427195,23.488901,24.75358,12.919485,11.897047,11.897047,11.897047,11.897047,9.173192,5.9268,24.430227,23.896826,16.667156,7.265431,17.847286,16.762644,13.298874,13.726128,1.7074174,22.325228,6.420911,27.059313,214.47426,4.4303274,9.249224,0.116393566,9.628485,24.752983,48.0113,5.281987,6.105478,2.5570683,5.3115253,22.166203,28.086086,9.945566,11.744235,8.869978,4.0398345,7.2672777,2.174566,9.38336,9.775005,6.469792,13.635007,26.888832,22.114746,10.256551,21.197838,18.484844,soprano
14.91002,13.7570095,13.035734,17.911945,21.10494,12.65522,3.5501592,6.4965577,5.2046266,4.7301044,27.420938,28.631905,20.374464,18.91503,28.507156,12.626759,2.551454,25.968275,14.91002,14.91002,14.91002,14.91002,18.811253,14.511678,24.777967,4.2387347,24.456312,10.009946,9.482861,17.410973,10.256235,16.209723,10.540054,17.743286,11.723342,4.091669,184.84135,5.953517,17.74398,3.1162474,6.22301,13.432283,48.107014,4.285421,14.48367,12.112826,8.01378,6.8543463,12.016579,24.246843,14.855521,15.365987,14.678145,7.0658116,7.2898426,6.6904483,11.498556,10.247027,14.104419,11.631774,13.655611,5.53028,23.005922,16.906874,soprano
10.968652,9.830977,9.382659,7.690393,8.36751,9.42127,15.21621,9.619787,19.803408,7.7143807,6.147679,4.2997117,14.514708,19.447067,12.48792,19.479757,9.2284,6.1412296,10.968652,10.968652,10.968652,10.968652,9.822115,9.843591,15.114609,13.570512,9.465873,4.881295,6.9437356,14.549459,11.32423,11.557677,4.172081,13.875712,9.761481,23.434711,257.591,25.099552,4.3364425,4.2330594,15.750502,9.155834,150.98535,14.412425,12.429517,8.513576,13.495935,17.126028,7.488504,12.491396,10.56603,1.0827475,8.438212,3.1777625,11.615908,6.20624,13.120936,10.219042,15.970741,15.731696,9.307307,19.004478,15.702446,10.890707,soprano
12.088434,9.2242985,16.427893,10.201152,11.977336,14.634244,10.944326,13.602613,9.325744,3.565578,7.439891,9.762121,10.1318655,31.699413,4.091337,8.778619,12.229355,6.4073553,12.088434,12.088434,12.088434,12.088434,11.958086,20.609282,19.74865,3.805652,4.7545595,12.435081,6.3266125,14.923228,11.003188,11.352806,9.242336,15.184752,10.824582,21.184969,30.653316,13.74408,11.991216,20.248587,9.161484,22.88799,11.811711,3.377363,22.59961,10.625353,17.118029,14.025515,12.847645,8.10966,18.760197,7.708806,12.191403,11.330777,10.347113,6.6752753,9.501169,10.194188,12.77532,5.5866523,3.7172155,18.44211,12.230828,13.385966,soprano
12.551575,11.250316,19.031603,13.871384,10.049363,8.952584,9.061511,8.779475,12.948352,11.04037,1.9747815,10.116607,12.718745,5.6321154,13.414053,13.270612,10.1539345,7.111916,12.551575,12.551575,12.551575,12.551575,1.8898846,11.993241,3.6417146,5.7451167,5.4032497,12.614812,15.775722,6.684925,15.103355,19.54452,3.6435182,4.344954,6.8065763,23.899857,38.67305,12.408272,1.6023601,3.7675831,15.493221,9.63707,7.6194444,6.1832485,12.839214,10.63767,3.5373456,24.483286,21.37738,11.3449955,19.281157,24.321993,25.558554,6.033058,12.426082,10.640805,21.307232,13.722468,13.237558,14.891659,1.5643897,16.773539,15.5983515,17.379654,soprano
12.222506,15.460147,15.178226,14.558569,23.325579,7.176899,18.130882,1.2636756,12.655807,7.6630826,23.475624,10.307771,11.486504,6.7725716,12.942404,14.986359,12.957156,21.646133,12.222506,12.222506,12.222506,12.222506,2.7150228,15.656369,16.220575,4.677316,9.10581,7.347428,17.283724,12.97706,5.5012107,11.017423,1.5612903,13.579144,33.251022,27.310751,13.2511215,14.529935,7.609988,13.565767,9.561366,3.278762,18.659916,28.495161,17.50953,15.633998,15.100833,13.489571,12.98235,25.911106,6.198282,27.329266,28.245228,28.675478,13.147195,5.8370304,12.829816,10.0556555,7.2508535,9.111443,6.528745,4.0650268,18.635435,15.5103655,soprano
10.430514,9.278992,9.304978,14.261466,15.752632,7.8440595,19.270756,16.676716,9.962243,18.483622,15.222643,17.015661,5.0544395,5.8704023,9.430155,6.342024,11.214877,8.781331,10.430514,10.430514,10.430514,10.430514,12.149578,3.0336943,17.254515,3.9162169,5.9827533,9.939518,10.867702,4.6098514,18.909649,15.295862,11.810276,10.037384,43.930973,33.834526,18.463749,19.501692,3.6843197,15.762424,45.798244,60.174576,7.1862855,5.0233855,4.591909,3.4438117,6.037407,19.510416,9.075648,8.313818,0.5177663,3.335896,6.9080853,5.507197,13.401844,1.9490861,13.726739,11.028992,4.1516356,9.150867,11.779618,6.126417,1.6593289,5.1273246,soprano
10.62789,5.911042,7.0870805,11.477875,12.933482,14.629538,13.000086,6.6750774,3.204151,9.1542015,18.047539,7.4754367,10.555399,16.10213,12.135227,7.6060495,15.521672,7.9909234,10.62789,10.62789,10.62789,10.62789,17.570295,5.4644227,13.035109,20.413399,11.141865,17.086586,15.592403,20.573603,2.2544565,6.2698874,15.777515,5.4987845,6.627274,1.6831768,17.220396,15.060359,5.3941507,10.622516,17.135292,7.8429246,11.626018,5.2429533,10.664423,19.908253,1.496393,11.260966,11.7704525,4.222413,10.274353,4.580395,13.193219,14.345444,11.144601,16.006958,5.961617,22.112333,11.996193,17.765738,5.2478867,12.897393,15.813233,6.645976,soprano
13.4610405,15.26279,26.270084,4.4616513,8.741083,15.034852,7.6249537,10.9112425,13.253378,9.828375,13.768127,6.8351502,13.395074,28.08891,9.696157,13.659435,19.95807,14.423788,13.4610405,13.4610405,13.4610405,13.4610405,16.78887,9.936936,29.150936,11.127078,15.1441145,4.767717,11.659592,13.65983,6.2450686,18.23284,15.005638,11.77595,23.680359,9.221423,14.839944,11.038415,7.6637864,13.40721,16.078278,15.283105,20.501753,12.799451,18.3162,20.730299,8.014166,9.850917,23.023172,10.009945,4.168336,13.66301,6.1122403,19.622166,8.574744,6.2613482,3.089066,23.596502,12.671085,21.288963,7.9229746,9.066548,4.722043,4.724706,soprano
3.6724994,14.297404,12.388561,6.9401503,15.125157,12.648737,15.276151,1.6155671,3.8491135,4.674282,10.436489,13.725588,14.216646,5.4492383,9.032985,7.8697762,8.573381,32.20946,3.6724994,3.6724994,3.6724994,3.6724994,13.494323,2.008565,12.276476,3.8713639,9.455379,12.099446,4.860926,8.85089,15.883969,6.424101,7.794558,5.698823,20.357313,12.501591,4.7555766,20.394533,3.6078432,12.016758,32.5201,23.986792,13.792301,4.636247,7.253515,1.5478934,21.384104,7.3686686,15.083016,6.423968,17.744375,17.40908,19.425825,1.9907671,19.205875,4.328631,12.406223,5.0955853,31.232279,12.98227,4.3832126,7.917338,9.399848,12.473394,soprano
15.127876,5.272205,9.867573,16.687044,3.830218,25.532951,5.1240172,11.391413,27.8833,8.605724,14.932469,9.851957,11.608192,16.876495,14.915177,19.124653,24.23021,13.602481,15.127876,15.127876,15.127876,15.127876,6.0020638,14.630916,20.473866,12.377182,2.3892863,17.850513,19.698647,18.321459,21.584606,21.592443,26.805025,11.909073,108.46118,35.195694,17.960829,36.300724,3.9910018,11.297481,202.17265,16.802546,6.9107175,9.288816,8.298441,3.0599823,12.772826,4.0241003,12.87211,11.049092,9.4911175,9.048946,5.934184,13.877821,13.52432,10.231628,4.5972223,9.107047,5.1088142,9.808792,4.8154535,16.029043,24.256815,6.989218,soprano
13.669323,4.492368,11.330528,9.733548,9.176397,0.7207362,11.075653,13.612296,1.5361427,3.3682382,8.96468,10.026116,7.845113,4.5030613,6.138199,25.567188,16.832418,11.076267,13.669323,13.669323,13.669323,13.669323,10.059483,9.77839,1.7744857,18.296684,11.883838,8.245004,17.209557,3.7217574,2.300379,1.7520819,8.810386,13.623178,66.299484,3.7934365,11.4471245,9.919741,1.6650239,16.345734,106.762474,13.47372,0.5295537,7.705778,5.4273386,6.4078703,3.5339224,12.645994,16.667997,8.175412,9.658415,7.87233,26.481873,13.57354,13.203711,8.272427,13.264437,15.372247,3.367152,16.085217,4.4716415,1.8940977,4.7309875,7.860364,soprano
18.223839,10.688731,5.6549582,4.286645,8.517537,8.213972,13.620482,12.617324,5.400378,16.865185,11.219773,4.190471,7.253313,9.056023,9.729704,5.540911,14.14768,17.457937,18.223839,18.223839,18.223839,18.223839,6.8025928,16.23909,9.752612,12.301446,7.016204,6.341234,5.023089,2.4519145,8.530264,2.6736805,10.579043,13.178847,14.433879,7.5973988,2.418345,19.324598,3.4202259,20.225988,7.588824,9.367634,9.738362,10.112644,7.513802,11.140218,4.61753,9.381331,9.665322,16.849003,6.706116,15.743174,12.579239,2.7335021,2.5415142,10.58902,2.9623346,9.995614,9.152724,9.408727,21.999336,4.417321,2.8649778,14.427818,soprano
11.339272,23.008078,23.281416,21.448103,12.717591,20.294819,10.407529,17.936447,10.01294,16.614313,7.374725,6.4976215,4.038335,9.266404,8.93649,13.829002,12.1358795,9.658683,11.339272,11.339272,11.339272,11.339272,9.561532,14.877346,1.1180395,0.882724,1.5745233,8.8173485,6.1250515,7.221767,12.003065,9.252274,7.8061223,31.044123,8.4352,3.5205042,12.087816,6.8643274,21.473166,44.44976,15.293242,10.243166,6.9461846,1.4516149,23.829702,12.49253,11.438578,12.328045,6.0762615,13.546481,19.560064,20.984682,10.481382,8.285194,14.79547,16.163677,13.607722,22.382748,13.440962,29.394417,2.4565668,9.366896,10.725704,21.90246,soprano
