@relation voices
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute voice {bass, baritone, tenor, alto, soprano}



@data
4.1270437,1.223321,0.46570554,6.3480935,5.4842753,13.410895,12.433646,21.992895,3.5125313,7.9485106,4.870845,4.381727,11.648662,4.6408634,5.5678406,9.015303,4.114315,2.1838372,4.1270437,4.1270437,4.1270437,4.1270437,19.739288,1.8948331,2.064971,17.615799,3.1785436,2.318791,5.1795006,1.5192245,4.447532,1.0893302,2.530242,1.332686,0.3511035,2.6304147,2.5043275,2.9639275,2.2596226,2.4842582,1.3991984,3.124196,0.8476032,1.4644026,0.4958256,0.45029056,1.2176274,1.2548294,1.5268134,2.1012206,2.741608,2.3606653,2.320418,1.8520081,0.770414,0.40730518,3.8336332,1.7827034,1.1908326,0.61468625,1.5838447,1.8045037,2.58644,2.3369844,bass
2.5883956,3.928203,5.717359,3.5638514,2.1817665,13.1779995,6.328688,30.4541,3.5341063,16.093056,5.264195,5.021872,10.69038,9.832489,5.804764,6.867801,8.556493,2.2541907,2.5883956,2.5883956,2.5883956,2.5883956,16.104832,5.155685,1.9986234,8.523198,6.3284817,0.56709784,1.3738592,3.3500009,2.4038444,4.5842934,5.7186823,4.2407346,8.37606,2.93526,8.70692,2.6192389,3.8666477,0.7768574,1.2288729,2.57181,1.832644,2.1083982,1.4733447,2.4588425,0.12977466,5.002941,2.2018466,0.6086507,2.9139318,3.273553,4.0220876,2.8699145,1.9928023,3.8898485,0.7410093,3.246505,1.3221878,2.3542402,2.6309566,2.2557626,4.4880257,1.0468136,bass
2.1398132,2.3499825,2.9585664,5.084943,12.21783,7.0433702,5.6216455,25.930355,7.2084494,12.065762,2.707707,2.545094,5.5882826,4.971222,2.5175424,2.2577891,1.7414365,1.921359,2.1398132,2.1398132,2.1398132,2.1398132,18.166317,1.8170242,7.5989685,11.945948,2.8048143,2.045923,2.9951093,0.9422416,3.18415,5.0425863,3.737616,1.6116053,1.6850303,1.4806594,4.0280247,2.1394897,0.79682124,2.3265078,3.428803,2.6837747,2.3556693,4.51416,1.8219798,3.227179,1.6631937,4.034698,1.7150182,0.8302897,3.6692495,0.5413299,0.6115499,2.0166535,2.8472717,1.4556323,2.0763505,4.638042,1.5097147,1.0518326,2.8311405,0.98811114,1.8598266,0.69896275,bass
2.7676961,0.60757923,3.0788941,4.3478403,9.873673,12.930283,0.1552885,25.709581,5.3900323,11.443326,3.0872912,1.3185203,5.243295,18.753399,6.9021287,15.510822,21.862392,3.3000183,2.7676961,2.7676961,2.7676961,2.7676961,3.9442356,3.5188632,4.7000566,15.405249,3.5391896,2.908386,5.396823,3.8954194,3.6435113,1.6923217,0.9176304,1.2029417,2.350625,2.1511679,3.3073232,3.4306502,2.2707536,1.1776266,1.7949014,2.0098999,2.4998596,1.1615921,1.8249944,1.0977697,3.487772,0.81180054,2.6609373,1.0837637,0.28978658,0.99168193,0.9282998,1.4693424,2.4292903,0.9688029,0.5747276,3.9985611,1.141218,1.5222212,1.925913,1.2369301,0.8917837,0.7755199,bass
5.989646,3.0505118,1.0697011,1.6813546,11.8148575,3.2781622,8.804274,30.146278,6.490545,10.067211,4.2330737,4.7639627,5.7367077,3.7385452,5.2326474,3.3003051,17.806866,1.223535,5.989646,5.989646,5.989646,5.989646,38.335117,4.177624,3.7392097,13.27972,6.119591,4.089757,4.653459,2.9447901,1.3428738,0.7308483,1.6188247,3.0410058,1.4216642,1.1593599,2.20962,4.7520227,1.9398862,1.662662,0.5324506,0.9561626,0.8414957,2.531782,2.2380986,2.4522893,3.672065,2.0024178,1.3641661,1.1724546,3.0792325,1.5260057,1.5324777,0.8778745,3.553269,0.7089271,1.712776,2.7526202,4.1069894,2.3842664,2.1128445,2.124086,1.2824241,4.5387945,bass
3.537434,4.8157177,6.0535946,5.10272,8.691745,15.347284,16.513556,32.093906,5.5547442,11.094998,3.9948523,1.5666184,6.297777,5.060752,3.6415339,15.540755,13.214046,3.8384724,3.537434,3.537434,3.537434,3.537434,49.67335,2.18735,1.7947764,10.508639,10.717962,5.0801563,2.5949266,6.044815,2.2202294,4.161043,3.7269728,2.3505793,2.5171556,1.1690264,3.3995206,4.0689383,0.5435979,0.6309166,4.204067,2.9651554,2.70765,2.0041578,4.676324,0.3787691,1.295104,4.413311,2.5500345,4.1898313,1.8398685,2.0820987,2.8344326,1.1293675,2.2382426,2.5516331,3.151861,3.7235844,3.06988,1.5629954,2.6779954,1.1012156,0.6349882,4.60059,bass
2.7159078,3.3506606,1.3264439,5.8827534,1.8953589,21.867134,32.239597,18.375265,3.6642587,13.253852,6.62749,3.0183473,1.0361645,12.2085085,20.09706,16.100245,16.440134,4.126589,2.7159078,2.7159078,2.7159078,2.7159078,13.994789,6.4631925,3.515267,15.618493,2.7775455,1.1985294,3.5716767,4.4931293,2.7641888,3.5030978,1.575996,1.0034742,1.6030984,2.7338564,3.3244681,2.332524,1.7877398,1.6751977,4.8461394,1.7794251,0.6514205,2.8780766,1.756511,1.1592667,1.9830306,1.1459672,1.8010193,0.72723573,2.340871,1.4140439,1.0906007,3.4383566,3.3869028,2.3754694,1.9261675,1.311612,3.778201,0.8973675,1.1024332,3.068211,3.0022807,3.4572093,bass
5.216688,3.8685575,5.351611,6.075633,9.749995,15.363728,26.045908,29.807957,5.071548,10.212088,8.443738,4.473709,6.4523015,6.9653196,7.463185,5.1175356,0.6788186,3.3901966,5.216688,5.216688,5.216688,5.216688,12.815403,3.4769313,3.4732745,8.479823,2.4120483,1.8249942,3.364961,3.532711,1.4438397,2.5247853,1.6198412,4.1226716,2.1985064,1.1078045,1.2863077,1.553971,2.64988,1.233404,0.5391727,1.6357379,1.7575395,1.588618,0.4215268,1.6502527,1.5043566,2.0396566,1.3329576,0.98214394,0.79590327,1.5894612,0.43001148,1.8173571,2.0461974,2.2219198,2.2080145,0.48031333,1.8251172,1.7555046,0.6935863,0.41257387,1.4092274,1.088752,bass
3.83041,5.0756354,5.357129,6.5252438,6.910219,20.937231,9.269012,22.364914,9.273114,15.927372,7.3229985,2.4199643,8.655654,4.458478,5.00141,6.107719,3.5198169,2.0670743,3.83041,3.83041,3.83041,3.83041,30.34567,5.2073317,3.8497312,9.687645,4.315253,2.4026363,1.5621076,2.53466,0.9087388,6.2523627,1.4892635,1.4089714,3.6449926,0.6372711,1.649488,0.09385809,1.2245351,2.7014482,1.2114041,1.098766,1.1572706,2.5084424,1.1333964,0.92803746,1.5187929,0.6265081,2.0741184,2.2437978,3.083081,0.68526334,1.2150753,0.97638875,2.2388554,1.4703138,2.0304794,2.964547,1.0495708,1.8119516,1.4840659,4.4590735,2.911512,0.6915768,bass
0.93890786,1.5656673,0.5762174,2.4268904,2.456534,3.980863,5.701929,24.756008,8.129573,15.564662,6.9334335,8.85313,4.871243,5.710493,0.3188168,9.950309,6.4947176,8.7584,0.93890786,0.93890786,0.93890786,0.93890786,43.845257,3.5105782,5.874277,24.286438,3.9188943,3.3053951,2.8729138,2.0108652,2.243695,3.898693,1.6265994,1.9165531,3.0136673,2.5181618,3.424726,1.8905485,3.639654,1.0693817,1.7045522,2.4351687,0.7236459,1.4111742,0.9525636,2.1442235,3.3745549,1.6160835,1.9974061,2.7702496,1.0380325,2.7678046,2.16695,4.2318616,1.3883451,1.4625983,2.300348,1.1662393,1.0425613,2.5878258,2.4503896,1.4096786,0.9097935,3.8231626,bass
1.8658459,2.5767584,2.8163695,8.096533,5.7477627,11.154116,17.06843,20.400124,7.5582623,13.452457,11.912138,8.80772,4.487515,2.8998013,7.1527767,5.9458284,4.672769,3.3523648,1.8658459,1.8658459,1.8658459,1.8658459,16.873863,1.1829002,2.1320848,2.3676238,1.6916819,0.38863587,2.2776942,1.4238017,1.9273226,1.1515797,2.0491655,4.679723,3.6763802,0.9265681,1.2739972,1.3291218,0.968258,2.9305906,2.4146895,1.1127185,2.3767345,0.91113734,2.0109472,1.51329,3.268922,2.971912,4.0228343,0.30493483,2.6250076,2.6582093,0.74769884,2.1587975,0.99751145,1.6558274,1.5297873,1.3248149,1.5353996,1.8039831,2.2199843,0.73168534,0.89727455,1.9209363,bass
2.9506598,3.9611685,2.4536097,2.9727051,6.9988346,22.555508,23.857466,31.854439,26.266172,24.882116,0.3852795,6.7158437,7.0187273,3.7380545,1.3349564,16.80576,0.7572208,3.7419794,2.9506598,2.9506598,2.9506598,2.9506598,4.754118,0.3269311,7.286754,13.359587,0.6404321,4.9182057,1.7857846,4.66086,1.3799243,4.1385293,3.4701672,1.2934158,1.826337,5.494588,2.249738,3.75549,2.443269,2.3021936,9.542902,2.117113,2.4894297,3.3791668,1.0453376,1.8902637,1.1063203,1.8079479,3.0949566,2.1595275,4.4131703,2.3209047,2.5965316,4.2568927,1.4299086,1.327855,2.165417,1.0381882,0.41135284,0.6367711,2.0620682,4.5518637,1.6576496,2.0626466,bass
1.2094516,2.041382,0.22598371,2.86611,3.428929,17.630047,12.066244,20.580662,13.331751,17.854021,8.7838545,1.8540509,5.782479,2.690017,4.835631,8.40181,9.130713,1.8416616,1.2094516,1.2094516,1.2094516,1.2094516,10.181799,1.9353559,3.9359703,8.7581625,3.979835,1.783216,2.7355433,1.985146,0.3177023,1.8441458,2.461561,1.6243275,2.6357884,2.3499293,0.36241603,0.43858156,3.4734936,1.4169444,0.98067254,2.6281898,1.2066442,2.4280412,0.61033475,1.1617619,0.39577684,0.99462706,0.81040186,0.6086937,0.49761024,1.357611,3.0765464,0.59404314,3.2509189,1.4425136,1.7211066,0.9986742,0.87227136,1.561853,1.5151222,0.44173393,1.8035787,1.7592121,bass
